"Iqtidaa-ul-'Ilm al-'Amal
Knowledge Mandates Action",______: ______ _____ _____
"[69] Abul-Hasan 'Alee bin Ahmad bin 'Umar Al-Muqree informed us, saying: 'Abdul- Baaqee bin Qaani', the Judge, informed us: Al-Husayn bin 'Alee bin Al-Azhar narrated to us in Koofah: 'Ubaad bin Ya'qoob narrated to us: Abu Dawood An- Nakha'ee narrated to us: 'Alee bin 'Ubaydillaah Al-Ghatfaanee narrated to us from Saleek that he said: I heard the Prophet say:","69 - ___________ _____ _________ _______ ____ ________ ____ ______ _____________ _____: ________ ______ _________ ____ _______ __________ ___ ___________ ____ _______ ____ ____________ _____________ ___ ________ ____ __________ ___ _____ _______ _____________ ___ _______ ____ ________ _______ ________________ ____ _________ _____: ________ __________ ______ _____ ________ __________ _______:"
"""When a scholar knows (something) and fails to act (on it), he becomes like a lamppost which sheds light for the people yet burns itself out.""","«_____ ______ __________ ______ ________ _____ ______________ _______ __________ __________ ________»"
"[70] Abu Na'eem Ahmad bin 'Abdillaah bin Ahmad bin Ishaaq, the Haafidh in Asbahaan, informed us: Abu Muhammad 'AbduUaah bin Ja'far bin Ahmad bin Faaris narrated to us, saying: Ismaa'eel bin 'Abdillaah bin Mas'ood Al-'Abdee narrated to us: Hishaam bin 'Ammaar reported to us: ""Alee bin Sulaymaan Al-Kalbee narrated to us: Al-A'mash narrated to us from Abu Tameemah that Jundub bin 'Abdillaah said: The Messenger of Allah said:","70 - ___________ _____ ________ ________ ____ ______ _______ ____ ________ ____ _________ ___________ ______________ ___ _____ _________ ______ _______ ____ ________ ____ ________ ____ ________ _____: ___ ____________ ____ ______ _______ ____ _________ _____________ ___ _______ ____ _________ ___ _______ ____ ___________ _____________ ___ ____________ ____ _____ __________ ____ ________ ____ ______ ________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""The example of a scholar that teaches the people good but forgets (it) himself, is like the example of a lamp that sheds light for the people but burns itself out.""",«______ __________ _______ _________ ________ _________ _________ ________ ________ __________ _______ _________ __________ ________»
"[71] Muhammad bin Ahmad bin Rizq informed us, saying: Al-Husayn bin Ayoob Al- Haashimee reported to us, saying: Moosaa bin 'Eesaa Al-Maseesee narrated to us: Luwain narrated to us: And Yoosuf bin Rabaah bin 'Alee Al-Basree informed us: The Judge, Abul-Hasan 'Alee bin Al-Husayn bin Bandaar Al-Adhanee reported to us: Luwain narrated to us: And Al-Hasan bin Muhammad Al-Khallaal informed me, saying: Muhammad bin 'Alee bin Suwayd Al-Ghabaree narrated to us, saying: Muhammad bin 'Alee bin Dawood At-Tameemee reported to us in Adhanah, saying: Luwain Muhammad bin Sulaymaan narrated to us: Muhammad bin Jaabir narrated to us from Yoonus bin 'Ubayd from Al-Hasan that Abu Barzah & said: The Messenger of Allaah said:","71 - ___________ _________ ____ ________ ____ _______ _____: _____ ___________ ____ ________ ______________ _____: ___ ______ ____ ______ _______________ ___ _________ _____________ _______ ____ _______ ____ _______ _____________ _____ _________ _____ _________ _______ ____ ___________ ____ _________ _____________ ___ _________ _____________ _________ ____ [_:50] _________ ____________ ___ _________ ____ _______ ____ _________ _____ ________ _________ ____ _______ ____ _______ ______________ ___________ _____: ________ ________ _________ ____ ____________ ___ _________ ____ ________ ____ _______ ____ _________ ____ __________ ____ _____ _________ _____: _____ _______ _______ ______ _______ ________ _________:"
"""The example of one who teaches the people good yet forgets himself, is like the example of a torch that sheds light for people yet burns itself out.""",«______ _______ _________ ________ _________ _________ ________ ______ ____________ _______ _________ __________ _________» ___________ _________ ___________
"[72] Al-Hasan bin Abee Bakr informed us, saying: Abul-Husayn 'Abdus-Samad bin 'Alee bin Muhammad At-Tissee informed us: Muhammad bn Al-Qaasim, who was known as Abul-'Aynaa narrated to us, saying: Abu 'Aasim bin Juraij narrated to us from Abuz-Zubair from Jaabir that the Prophet said:","72 - ___________ _________ ____ _____ _______ _____: ___________ _____ ___________ ______ _________ ____ _______ ____ _________ _____________ ___ _________ ____ __________ ____________ _______ _____________ _____: ___ _____ ________ ____ _____ _________ ____ _____ ____________ ____ ________ ____ __________ ______ _______ ________ __________ _____:"
"""A group of people from the inhabitants of Paradise came upon a group of people from the inhabitants of Hellfire, so they asked them: 'What caused you to enter the Hellfire when we only entered Paradise due to your teaching us?' They replied: 'Indeed, we used to command you (towards good) but not do it (ourselves).'""","“________ ______ ____ ______ __________ _____ ______ ____ ______ ________ _________: _____ __________ ________ __________ _________ __________ ________________ _______: ______ ______ ____________ _____ ________"""
[73] Abul-Hasan 'Abdur-Rahmaan bin Muhammad bin 'Ubaydillaah Al-Asbahaanee informed us: Abul-Qaasim Sulaymaan bin Ahmad bin Ayoob At-Tabaraanee narrated to us: Ahmad bin Yahyaa bin Khaalid bin Hayyaan Al-'Arqee narrated to us: Zuhayr bin 'Ubaad narrated to us: Abu Bakr Ad- Daahiree' Abdullaah bin Hakeem narrated to us from Ismaa'eel bin Abee Khaalid from Ash-Sha'abee that Al-Waleed bin 'Uqbah said: The Messenger of Allaah said:,"73 - ___________ _____ _________ ______ ___________ ____ _________ ____ ________ _______ [_:51] __________________ ______ ___ _____ __________ ___________ ____ ________ ____ ________ ________________ ___ ________ ____ _______ ____ _______ ____ ________ ____________ ___ ________ ____ _________ ___ _____ ______ _____________ ______ _______ ____ ________ ____ ____________ ____ _____ ________ ____ _____________ ____ __________ ____ _________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""A group of people from the inhabitants of Paradise will come upon a group of people from the inhabitants of Hell and say (to them): 'What is the reason why you entered Hell, for by Allaah, we only entered Paradise because of what we learned from you.' So they will reply: 'Verily, we used to say (something) and not do it (ourselves).'"" 
Sulaymaan said: ""No one reported this from Abu Khaalid except for Abu Bakr Ad- Daahiree. Zuhayr is alone in narrating from him.""","“_____ ________ ____ ______ __________ ______________ _____ _______ ____ ______ _________ ____________: ____ __________ _________ ___________ ___ _________ __________ ______ _____ ____________ _________ ____________: ______ ______ _______ _____ ________ “_____ ___________: ____ ________ ____ _____ _______ ______ _____ ______ ______________ _________ ____ ________"
[74] Abul-Hasan 'Alee bin Ahmad bin 'Umar bin Hafs Al-Muqree informed us: Abu 'Abdillaah Muhammad bin Al-'Abbaas bin Al-Fadl narrated to us in Mawsil: Muhammad bin Ahmad bin Abil-Mafhnaa narrated to us: Muhaadir bin Mawri' narrated to us: Al-A'mash narrated to us that Shaqeeq bin Salamah said: It was said to Usaamah bin Zayd:,"74 - ___________ _____ _________ _______ ____ ________ ____ ______ _____________ ___ _____ ______ _______ _________ ____ ___________ ____ __________ ______________ ___ _________ ____ ________ ____ _____ ____________ ___ _________ ____ _____________ ___ ____________ ____ _______ ____ _________ _____:"
"""Why don't you enter in the presence of 'Uthmaan and speak to him?"" So ""You believe that I don't speak to him unless you (actually) hear me speak to him. I have already spoken to him in a meeting between me and him without opening something that I wouldn't like to be the first one to open. And I will not tell a person: 'You are the best of people' - even if he is a ruler over me - after what I heard the Messenger of Allaah say."" They asked: ""What did you hear him say?"" He replied: He said:","“_____ ___________ ____ _______: _____ ________ _____ _________ ______________ _______: _________ ________ ______ ___ ___________ ______ ______________ [_:52]_ ______ ___________ ______ _______ __________ _____ ____ ________ _______ ___ _______ ____ _______ _______ ____ _________ _____ _______ ________ _______ ______ _________ ______ _____ _______ _________ ______ ____ ________ _______ _______ ______ _____ ________ _________ ________ _____: _____ __________ _______ _____: _____:"
"""A man will be brought on the Day of Judgement and thrown into the Hellfire where his intestines will spill out. So it will be said (to him): 'Weren't you the one who used to command good and forbid evil?' So he will say: 'I used to command you to do good yet not do it myself. And I used to forbid you from evil yet commit it myself.'”","“_______ ___________ ______ ____________ _________ ___ ________ ____________ ____________ _________ ________ ______ ________ ______________ _________ ____ ____________ _____: ______ _________ ______________ _____ ___________ _____________ ____ ___________ ________"""
"[75] Abu Sa'eed Muhammad bin Moosaa Ibn Al-Fadl As-Sayrafee informed us: Abul- 'Abbaas Muhammad bin Ya'qoob Al-Asam narrated to us: Yahyaa bin Abee Taalib narrated to us, saying: 'Abdul-Wahhaab bin 'Ataa informed us, saying: Abu Salamah reported to us that Mansoor bin Zaadhaan said:","75 - ___________ _____ _______ _________ ____ ______ ____ _________ _______________ ___ _____ ___________ _________ ____ _________ ___________ ___ _______ ____ _____ ________ _____ ___________ ______ ___________ ____ ________ _____: _____ _____ _________ ____ _________ ____ _________ _____:"
"""I have been informed that one of the people who will be thrown in the Hellfire - even the inhabitants of Hell will find his stench offensive. So it| will be said to him: 'Woe to you! What did you used to do? Is it not enough what we are upon from a bad condition, such that we had to be tested with you and the foul smell of your stench?' So he will say: 'I used to be a scholar (i.e. person with knowledge) but did not benefit from my knowledge.'""","_________ “_____ _______ ____ _______ ___ ________ ____________ ______ ________ __________ _________ ____: ________ ___ ______ _________ ___ __________ ___ ______ _____ ____ ________ ______ ___________ ____ ________ ________ _____: _________ ______ ______ ________ ______ __________ _________"""
"[76] Abu Ja'far Muhammad bin Ja'far bin 'Alaan Al-Warraaq informed us, saying: Abu 'Abdillaah Al-Husayn bin Ahmad bin Muhammad As-Safaar Al-Harawee informed us, saying: Muhammad bin Ibraaheem Al-Wakeel narrated to us: Muhammad bin Mahmood As-Samarqandee narrated to us, saying: And I heard him, i.e. Yahyaa bin Mu'aadh Ar-Raazee, say:","76 - ___________ _____ ________ _________ ____ ________ ____ ________ ____________ _____ [_:53]: ________ _____ ______ _______ ___________ ____ ________ ____ _________ ___________ _____________ _____: ___________ _________ ____ ____________ ___________ ___ _________ ____ _________ ___________________ _____: ____________ _______ _______ ____ _______ ____________ _______:"
"""The destitute one is he whose knowledge serves as a proof against him; he whose tongue serves as an opponent against him; and he whose understanding serves to cut off his excuses.""","«_________ ____ _____ ________ __________ ___________ __________ __________ __________ __________»"
"[77] It was said to one of them: ""Won't you seek knowledge?"" So he said: ""My opponents from knowledge are many (already), so I won't create any more.""",77 - _____ ____________: _____ ________ __________ _______: ________ ____ _________ _______ _____ _________
"[78] Ahmad bin Muhammad bin Ahmad Al-Mujhiz informed us: Abul-Fadl 'Ubaydullaah bin 'Abdir-Rahmaan Az-Zuhree narrated to us from his words in dictation form: Ibraaheem bin 'Abdillaah bin Ayoob Al-Makhramee narrated to us, saying: I heard Suree bin Al-Mughlis As-Saqatee say: ""Every time you increase in knowledge, the proof against you becomes even stronger.""","78 - _____ ________ ____ _________ ____ ________ _____________ ___ _____ _________ ________ _______ ____ ______ ___________ _____________ ____ ________ __________ ___ ____________ ____ ______ _______ ____ ________ ________________ _____: ________ _______ ____ ____________ _____________ _______: «________ _________ _______ _______ __________ ________ ________»"
"[79] Abul-Hasan 'Alee bin Talhah bin Muhammad Al-Muqree informed us, saying: I heard Abul-Husayn Muhammad bin Ahmad bin Sam'oon, the admonisher, say:","79 - ___________ _____ _________ _______ ____ ________ ____ _________ ___________ _____: ________ _____ ___________ _________ ____ ________ ____ _________ ___________ _______:"
"""Everyone that doesn't look at what Allaah has mandated upon him due to (his) knowledge, the knowledge becomes a proof and a curse against him.""","«_____ ____ ____ ________ ___________ ______ _______ _________ ___________ _______ _________ _________»"
"[80] Abu Taahir 'Abdul-Ghaffaar bin Muhammad bin Ja'far, the Educator, informed us, saying: Abu 'Alee Muhammad bin Ahmad bin Al-Hasan As-Sawaaf informed us: 'Abdullaah bin Ahmad narrated to us, saying: My father narrated to me: Siyaar bin Haatim narrated to us: Ja'far bin Sulaymaan Ad-Daba'ee reported to us from Thaabit that Anas said: The Messenger of Allaah said:","81 - ___________ _____ _______ ______ ___________ ____ _________ ____ ________ _____________ _____: ________ _____ _______ _________ ____ ________ ____ _________ ____________ ___ ______ _______ ____ _________ _____: __________ ______ ___ ________ ____ ________ ___ ________ ____ ___________ _____________ ____ ________ ____ _______ _____: _____ _______ _______ ______ _____ ________ _________:"
