ABU ’L-HASAN 'ALI IBN ISMA'IL AL AS 'ARI’S,الإبانة عن أصول الديانة
"Sulayman ibn Harb says, The Qur’an is uncreated. Passages of His Book tell of it. God said, “God will not speak to them and will not look on them.” The word of God and His regard are one, that is, uncreated.","وقال سليمان بن حرب: القرآن غير مخلوق، وأخذته من كتاب الله تعالى، قال الله تعالى: (لا يكلمهم الله ولا ينظر إليهم) من الآية (77 /3)، وكلام الله ونظره واحد، يعني غير مخلوق."
,
"Husayn ibn ‘Abd al-Awwal cites the following tradition: Muhammad ibn al-Husayn Abi Yazid al-Hamdani said, on the authority of 'Amr ibn Qays, and he on the authority of Abu Qays al-Mala’i, and he on the authority of 'Atiyyah, and he on the authority of Abu Sa'id al-Hudri, The Apostle of God said, The Word of God is as superior to other words as God is superior to His creation.","وذكر الحسين بن عبد الأول، قال: حدثنا محمد بن الحسن ابن أبي يزيد الهمذاني عن عمرو بن قيس، عن أبي قيس المديني، عن عطية، عن أبي سعيد الخدري قال: قال رسول الله صلى الله عليه وسلم: (فضل كلام الله عز وجل على سائر الكلام كفضل الله على خلقه)، "
"Hence this proves that the Qur’an is the Word of God, and what is the Word of God is not a creature of' God’s. God has explained that the Qur’an is His Word by His words “that he may hear the word of God.” There is proof of it in various passages of His Book. God has spoken, saying that “discoursing did God discourse with Moses.”","فهذا يثبت أن القرآن كلام الله عز وجل، وما كان كلاما لله عز وجل لم يكن خلقا لله، وقد بين الله أن القرآن كلامه بقوله عز وجل: (حتى يسمع كلام الله) من الآية (6 /9)، ودل على ذلك في مواضع من كتابه العزيز، وقد قال الله تعالى مخبرا أن الله كلم موسى تكليما."
"Waki' relates a tradition on the authority of al-A'mas, and he on the authority of Haytamah, and he on the authority of 'Adi ibn Hatim, who said, The Apostle of God said, There is none of you whose Lord will not address him without the intervention of an interpreter.","وروى وكيع عن الأعمش عن خيثمة، عن عدى بن حاتم، قال: قال رسول الله صلى الله عليه وسلم: (ما منكم من أحد إلا سيكلمه ربه ليس بينه وبينه ترجمان)"
"One of the things that explain that God is a discourser and that He possesses a Word is what ‘Affan relates: Hammad ibn Salamah said on the authority of al-As'at al-Harrani, and he on the authority of §ahr ibn Hawsab, The Word of God is as superior to other words as God is superior to His creation.","ومما يدل أن الله عز وجل متكلم، وأن له كلاما ما رواه عفان، قال: ثنا حماد بن سلمة عن الأشعب الحداني عن شهر ين حوشب قال: (فضل كلام الله عز وجل على سائر الكلام كفضل الله على خلقه)"
"Ya'la ibn al-Minhal as-Sa'di relates the following tradition: Ishaq ibn Sulayman ar-Razi said, Al-Jarrah ibn ad-Dahhak al-Kindi said, on the authority of 'Alqamah ibn Martad, and he on the authority of Abu 'Abd ar-Rahman as-Sulami, and he on the authority of 'Utman ibn 'Affan, The Apostle of God said, The best of you is he who is learned in the Qur’an and its science, and he said that the Qur’an was as superior to other words as God is superior to His creation—and that means that it is from Him.","وروى يعلى بن المنهال السعدي، قال: حدثنا إسحاق بن سليمان الرازي، قال: ثنا الجراح بن الضحاك الكندي، عن علقمة بن مرثل، عن أبي عبد الرحمن السلمي، عن عثمان بن عفان رضي الله عنه قال، قال رسول الله صلى الله عليه وسلم: (أفضلكم من تعلم القرآن وعلمه)، وقال: (إن فضل القرآن على سائر الكلام كفضل الله على خلقه)، وذلك أنه منه."
"Sunayd ibn Dawud cites the following tradition: Abu Sufyan quoted on the authority of Ma'mar, and he on the authority of Qatadah, God’s words “If all the trees that are upon the earth were to become pens, and if God should after swell the sea into seven seas of ink, His words would not be exhausted” —the verse.","وروى سعيد بن داود، قال: حدثنا أبو سفيان، عن معمر، عن قتادة قوله تعالى: (ولو أن ما في الأرض من شجرة أقلام والبحر يمده من بعده سبعة أبحر ما نفدت كلمات الله) الآية، من الآية (27 /31)."
,
"Harun ibn Ma'riif cites the following tradition: Jarir ibn Mansur quoted, on the authority of Hilal ibn Yasaf, what Farwah ibn Nawfal said: I was a neighbor to Habbab ibn al-Aratt. He said to me, Ho there! offer to God what you can. Nothing can be offered to God dearer to Him than His Word.","وذكر هارون بن معروف قال: حدثنا جرير، عن منصور، عن هلال بن أساف، عن فروة بن نوفل وقال: كنت جارا لخباب بن الأرت، فقال لي: يا هذا تقرب إلى الله عز وجل بما استطعت فإنك لن تتقرب إلى الله بشيء أحب إليه من كلامه."
"It is related on the authority of Ibn 'Abbas that, regarding God’s words “an Arabic Qur’an, free from tortuous wording,” he said, Uncreated.","وروى عن ابن عباس رضي الله عنهما في قوله تعالى: (قرآنا عربيا غير ذي عوج) من الآية (28 /39)، قال: غير مخلوق."
"Al-Layt ibn Yahya cites the following tradition: Ibrahim ibn al-As'at told me, I heard Mu’ammal ibn Isma'il say on the authority of at-Tawrl, He who thinks that the Qur’an is created is an infidel.","وروى الليث بن يحيى، قال: حدثني إبراهيم بن أبي الأشعث، قال: سمعت مؤمل ابن إسماعيل يحدث عن الثوري، قال: من زعم أن القرآن مخلوق فقد كفر."
"The traditions on the authority of Ja'far ibn Muhammad that the Qur’an is not a creator and not created, are sound. He related them on the authority of his paternal uncle, Zayd ibn 'Ali, and on the authority of his grandfather 'Ali ibn al-Husayn.","وصحت الرواية عن جعفر بن محمد أن القرآن لا خالق ولا مخلوق. وروي ذلك عن عمه زيد بن علي، وعن جده علي بن الحسين رضي الله عنهم أجمعين."
