"In the name of God, merciful and compassionate","بسم الله الرحمن الرحيم
"
The Nawfal clan is their equal in ancestral origins even though they are descended from a different mother than Hāshim’s.,"وبنو نوفل مُسَاوِيَتُهُمْ في جِذْمِ النسب، وإن انفردوا بأنهم بنوا أم دونهم."
God also said: «And know that a fifth of whatever you take as spoils belongs to God and to the Emissary.»,"قال الله: "" وَاعْلَمُوا أَنَّمَا غَنِمْتُمْ مِنْ شَيْءٍ فَأَنَّ لِلَّهِ خُمُسَهُ وَلِلرَّسُولِ (41) "" [الأنفال] ."
"So when God’s Emissary gave the spoils to the person who killed a foe during the onslaught, the Prophet’s Practice indicated that the booty that is divided into fifths in the Book of God is other than the spoils, since the spoils are taken as booty during the onslaught, separately from the spoils taken at other times.","فلما أعطى رسول الله السلَبَ القاتلَ في الإقبال: دلَّت سنة النبي على أن الغنيمة المَخْمُوسَة في كتاب الله، غيرُ السلب، إذْ كان السلب مَغْنُوماً في الإقبال، دون الأسلاب المأخوذة في غير الإقبال،"
"Moreover, it shows that the plundered items that are taken at times other than during the onslaught are booty that is to be divided into fifths, along with other kinds of booty according to Prophetic Practice.",وأن الأسلاب المأخوذة في غير الإقبال غنيمةٌ تُخمس مع ما سواها من الغنيمة بالسنة.
"Had it not been for the inference based on Prophetic Practice and our ruling according to the apparent meaning, we would have imposed amputation on everyone to whom the term “theft” applied; given anyone who committed unlawful sexual intercourse, whether slave or free, one hundred lashes; given the share of the near kinsmen to anyone with a kinship tie to the Prophet—and then it would have reached groups among Bedouin Arabs, since he had close familial ties among them; and included the spoils in the booty that is divided into fifths, since it is part of what is taken as booty, just like the rest of the booty.","ولولا الاستدلال بالسنة، وحُكْمُنا بالظاهر: قطعنا من لزمه اسمُ سرقة، وضربنا مائةً كلَّ مَنْ زَنَى، حُراًّ ثيباً، وأعطينا سهم ذي القربى كل من بينه وبين النبي قرابة، ثم خلص ذلك إلى طوائف من العرب، لأن له فيهم وَشَايِجَ أرحام، وَخَمَسْنا السَّلَب، لأنه من المَغْنم مع ما سواه من الغنيمة."
Explanation of God’s Imposition in His Book of the Obligation to Follow the Practice of His Prophet,بيان فرضِ الله في كتابه اتباعَ سنة نبيه.
"Al-Shāfiʿī said: God put His Emissary in a position relative to His religion, His obligations, and His Book in a way that clarified that He had made him a signpost of His religion. He did this by imposing the obligation to obey him and making disobedience to him unlawful. God also provided a clear statement about his excellence by pairing together faith in His Emissary with faith in Him.","قال: ""الشافعي"": وضع الله رسوله من دينه وفرْضِه وكتابه، الموضعَ الذي أبان - جل ثناؤه - أنه جعله عَلَمًا لدينه، بما افترض من طاعته، وحرَّم من معصيته، وأبان من فضيلته، بما قَرَن من الإيمان برسوله مع الإيمان به."
"He said (blessed and exalted): «So believe in God and His emissaries and do not say, “the Trinity.” Desist. That is better for you. God is one god. His glory is too great that He should have a son.»","فقال تبارك وتعالى: "" فَآمِنُوا بِاللَّهِ وَرُسُلِهِ وَلَا تَقُولُوا: ثَلَاثَةٌ انتَهُوا خَيْرًا لَكُمْ. إِنَّمَا اللَّهُ إِلَهٌ وَاحِدٌ سُبْحَانَهُ أَنْ يَكُونَ لَهُ وَلَدٌ (171) "" [النساء] ."
"He also said: «The believers are only those who believe in God and His Emissary and who, when they are with him on some common matter, do not leave till they have sought his permission.»","وقال: "" إِنَّمَا الْمُؤْمِنُونَ الَّذِينَ آمَنُوا بِاللَّهِ وَرَسُولِهِ وَإِذَا كَانُوا مَعَهُ عَلَى أَمْرٍ جَامِعٍ لَمْ يَذْهَبُوا حَتَّى يَسْتَأْذِنُوهُ (62) "" [النور] ."
"He thus made the perfect beginning of faith—to which all else is subordinate—faith in God, and then in His Emissary.","فجعل كمال ابتداء الإيمان، الذي ما سواه تَبَع له: الإيمانَ بالله ورسوله."
"If one of His servants believes in Him but not in His Emissary, then the term “perfect faith” cannot ever apply to him until he comes to believe in His Emissary along with Him.","فلو آمن عبد به، ولم يؤمن برسوله: لم يقع عليه اسم كمال الإيمان أبداً، حتى يؤمن برسوله معه."
Such was the status of the Practice of God’s Emissary for everyone whom he interrogated about their faith.,وهكذا سَنَّ رسولُ الله في كل من امتحنه للإيمان.
"Mālik reported to us from Hilāl ibn Usāmah, from ʿAṭāʾ ibn Yasār, from ʿUmar ibn al-Ḥakam, who said: “I came to God’s Emissary with a young female slave and said, ‘O Emissary, it is incumbent on me to free a slave; should I manumit her?’ ‘Where,’ God’s Emissary asked her, ‘is God?’ ‘In the sky,’ she replied. ‘Who,’ he asked, ‘am I?’ ‘You are God’s Emissary,’ she answered. So he freed her.”","أخبرنا ""مالك"" عن ""هلال بن أسامة"" عن ""عطاء بن يسار"" عن ""عُمَر بن الحَكَم"" قال: "" أتَيْتُ رسولَ اللهِ بِجَارِيَةٍ، فَقُلْتُ: ياَ رَسُولَ اللهِ، عَلَيَّ رَقَبَةٌ، أَفَأَعْتِقُهَا؟ فَقَالَ لَهَا رَسُولُ اللهِ: أَيْنَ اللهُ؟ فَقَالَتْ: فِي السَّمَاءِ. فَقَالَ: وَمَنْ أَنَا؟ قَالَتْ: أَنْتَ رَسُولُ اللهِ. قَالَ: فَأَعْتِقْهَا "" ."
"Al-Shāfiʿī said: The transmitter’s name is actually Muʿāwiyah ibn al-Ḥakam. People other than Mālik narrated it thus, and I think that Mālik did not memorize his name properly.","قال ""الشافعي"": وهو""معاوية بن الحكم""، وكذلك رواه غيرُ مالك، وأظن مالكً لم يحْفَظ اسمَه."
Al-Shāfiʿī said: God obliged people to follow His revelations and the practices of His Emissary.,"قال ""الشافعي: "" ففرض الله على الناس اتباع وحيه وسنن رسوله."
"He said in His Book: «“Our Lord, raise up among them an emissary, who is one of themselves, who will recite Your signs to them and will teach them the Book and wisdom and will purify them. You are the Mighty and the Wise.”»","فقال في كتابه: "" رَبَّنَا وَابْعَثْ فِيهِمْ رَسُولًا مِنْهُمْ يَتْلُو عَلَيْهِمْ آيَاتِكَ، وَيُعَلِّمُهُمْ الْكِتَابَ وَالْحِكْمَةَ، وَيُزَكِّيهِمْ. إِنَّكَ أَنْتَ الْعَزِيزُ الْحَكِيمُ (129) "" [البقرة] ."
"He also said (sublime His praise): «Even as We have sent among you an emissary who is one of you, who recites Our signs to you and will purify you and teach you the Book and wisdom, and will teach you what you did not know» ","وقال جل ثناؤه: "" كَمَا أَرْسَلْنَا فِيكُمْ رَسُولًا مِنْكُمْ يَتْلُو عَلَيْكُمْ آيَاتِنَا، وَيُزَكِّيكُمْ، وَيُعَلِّمُكُمْ الْكِتَابَ وَالْحِكْمَةَ، وَيُعَلِّمُكُمْ مَا لَمْ تَكُونُوا تَعْلَمُونَ (151) "" [البقرة] . "
