THE,كتاب الأموال
"(294) Hammad ibn Khalid related to us from Mu^wiya ibn Salih from Abu al-Zahiriyya from Jubayr ibn Nufayr from Abu al-Darda? that he said: “There is no harm in murri, because its effect has been eroded by the sun, salt and fish.”","294 - حَدَّثَنَا حَمَّادُ بْنُ خَالِدٍ، عَنْ مُعَاوِيَةَ بْنِ صَالِحٍ، عَنْ أَبِي الزَّاهِرِيَّةِ، عَنْ جُبَيْرِ بْنِ نُفَيْرٍ، عَنْ أَبِي الدَّرْدَاءِ، أَنَّهُ قَالَ: «لَا بَأْسَ بِالْمُرِّيِّ ذَبَحَتْهُ الشَّمْسُ وَالْمِلْحُ وَالْحِيتَانُ»"
"Aba 'Ubayd said: This was something that the Ahl al-Kitab of Syria used to make from grape juice and it was bought by the Muslims as murri, without","قَالَ أَبُو عُبَيْدٍ: وَإِنَّمَا هَذَا شَيْءٌ يَتَّخِذُهُ أَهْلُ الشَّامِ مِنْ أَهْلِ الْكِتَابِ مِنْ عَصِيرِ الْعِنَبِ فَيَبْتَاعُهُ الْمُسْلِمُونَ مُرِّيًّا، لَا يَدْرُونَ كَيْفَ كَانَ قَبْلَ ذَلِكَ."
knowing what stages it had passed through prior to this.,
"This is like 'Umar’s statement: “There is no harm in a person’s buying vinegar from the Ahl al-Kitab when he finds it with them, as long as he does not know that they have intentionally turned wine into vinegar.”","وَهَذَا كَقَوْلِ عُمَرَ: وَلَا بَأْسَ عَلَى امْرِئٍ أَصَابَ خَلًّا مِنْ أَهْلِ الْكِتَابِ أَنْ يَبْتَاعَهُ مَا لَمْ يَعْلَمْ أَنَّهُمْ تَعَمَّدُوا إِفْسَادَهَا،"
"Notice that there is an exemption for the Ahl al-Kitab, but not for the Muslims.",أَلَا تَرَى أَنَّهُ إِنَّمَا رَخَّصَ لِأَهْلِ الْكِتَابِ دُونَ أَهْلِ الْإِسْلَامِ؟
"Likewise, the decision of 'Umar ibn 'Abd al-Aziz’ official that we have mentioned when he poured water into the wine belonging to the residents of the Sawad. This is what he did with the wine of the Ahl al-Dhimma, but no such exemption is permitted for the wine belonging to the Muslims.","وَكَذَلِكَ فَعَلَ عَامِلُ عُمَرَ بْنِ عَبْدِ الْعَزِيزِ الَّذِي ذَكَرْنَاهُ، حِينَ أَلْقَى فِي خَمْرِ أَهْلِ السَّوَادِ مَاءً، إِنَّمَا فَعَلَهُ بِخَمْرِ أَهْلِ الذِّمَّةِ، وَلَا يَجُوزُ فِي خَمْرِ الْمُسْلِمِينَ مِنْ هَذَا شَيْءٌ"
Prisoners of War and Slaves From the Territories,بَابُ الْحُكْمِ فِي رِقَابِ أَهْلِ الْعَنْوَةِ مِنَ الْأُسَارَى وَالسَّبْيِ
Conquered by Force of Arms,
"AbU 'Ubayd said: A report has reached us from the Messenger of God (pbuh) in the case of the polytheist prisoners of war laying down three sunan: pardon, ransom and execution. This is what has been laid down in the Book.","قَالَ أَبُو عُبَيْدٍ: جَاءَنَا الْخَبَرُ عَنْ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ فِي حُكْمِ الْأُسَارَى مِنَ الْمُشْرِكِينَ بِثَلَاثِ سُنَنٍ: الْمَنُّ، وَالْفِدَاءُ، وَالْقَتْلُ، وَبِهَا نَزَلَ الْكِتَابُ."
"God, the Lofty and Praiseworthy, says:",قَالَ اللَّهُ جَلَّ ثَنَاؤُهُ {فَإِمَّا مَنًّا بَعْدُ وَإِمَّا فِدَاءً حَتَّى تَضَعَ الْحَرْبُ أَوْزَارَهَا} [محمد: 4]
"It is either generosity thereafter or ransom, until the war lays down its burdens.™",
And He says:,وَقَالَ {فَاقْتُلُوا الْمُشْرِكِينَ حَيْثُ وَجَدْتُمُوهُمْ} [التوبة: 5]
Then fight and slay the pagans wherever you find them.™,
The Messenger of God (pbuh) acted according to each option.,وَبِكُلٍّ قَدْ عَمِلَ النَّبِيُّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ.
Pardon (generosity) is seen in the case of the residents of Makka.,"فَمِنَ الْمَنِّ فِعْلُهُ بِأَهْلِ مَكَّةَ،"
We have already narrated its tradition describing how Makka was conquered.,"وَقَدِ اقْتَصَصْنَا حَدِيثَهَا، وَكَيْفَ كَانَ فَتْحُهُ إِيَّاهَا،"
He (the Messenger of God (pbuh)) did not cause any physical or financial injury to any,"ثُمَّ لَمْ يَعْرِضْ لِأَحَدٍ مِنْ أَهْلِهَا فِي نَفْسٍ وَلَا فِي مَالٍ،"
of its residents.,
"In fact, his crier called out: “Beware, no wounded person is to be slain, no one who turns his back and flees is to be pursued and no prisoner is to be executed.","ثُمَّ نَادَى مُنَادِيهِ: أَلَا لَا يُجْهَزَنَّ عَلَى جَرِيحٍ، وَلَا يُتْبَعَنَّ مُدْبِرٌ، وَلَا يُقْتَلَنَّ أَسِيرٌ،"
He who shuts his door is secure.”,وَمَنْ أَغْلَقَ بَابَهُ فَهُوَ آمِنٌ.
Abu 'Ubayd said: This is how Hushaym related it to us from Husayn ibn <Abd al-Rahman from 'Ubayd Allah ibn 'Abd Allah ibn 'Utba.,"قَالَ أَبُو عُبَيْدٍ: كَذَلِكَ حَدَّثَنَا هُشَيْمٌ، عَنْ حُصَيْنِ بْنِ عَبْدِ الرَّحْمَنِ، عَنْ عُبَيْدِ اللَّهِ بْنِ عَبْدِ اللَّهِ بْنِ عُتْبَةَ."
"(296) Abu 'Ubayd said: In this tradition there is something that I did not gather from Hushaym, which was also related to me. He said: “The Messenger of God (pbuh) pardoned all the people, except four of them: Ibn Khatal, Ibn Abi Sarih and Sara, who had borne Hatib’s letter to the residents of Makka.” I believe the fourth was Miqyas ibn Subaba.","296 - قَالَ أَبُو عُبَيْدٍ: وَفِي هَذَا الْحَدِيثِ شَيْءٌ لَمْ أَحْفَظْهُ عَنْ هُشَيْمٍ حُدِّثْتُ بِهِ، قَالَ: فَأَمَّنَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ النَّاسَ كُلَّهُمْ، إِلَّا أَرْبَعَةً: ابْنُ خَطَلٍ، وَابْنُ أَبِي سَرْحٍ [ص:142]، وَسَارَةُ الَّتِي حَمَلَتْ كِتَابَ حَاطِبٍ إِلَى أَهْلِ مَكَّةَ، وَأَظُنُّ الرَّابِعَ مِقْيَسَ بْنَ صُبَابَةَ، وَلِكُلِّ وَاحِدٍ مِنْ هَؤُلَاءِ حَدِيثٌ"
For each of these persons there is a tradition.,
,
,"297 - حَدَّثَنَا أَبُو عُبَيْدٍ: حَدَّثَنِي يَحْيَى بْنُ بُكَيْرٍ، عَنْ مَالِكِ بْنِ أَنَسٍ، عَنِ الزُّهْرِيِّ، عَنْ أَنَسِ بْنِ مَالِكٍ، قَالَ: دَخَلَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ مَكَّةَ يَوْمَ الْفَتْحِ وَعَلَيْهِ مِغْفَرٌ مِنْ حَدِيدٍ"
"(297)(Abu 'Ubayd related to us saying:) Yahya ibn Bukayr related to us from Malik ibn Anas from al-Zuhri from Anas ibn Malik, who said: “On the day of the conquest of Makka, the Messenger of God (pbuh) entered Makka and he was wearing a steel helmet.",
"When he took it off it was said to him: “O Messenger of Allah, there is Ibn Kha^al hanging by the drapes of the Ka<ba.”","فَلَمَّا نَزَعَهُ، قِيلَ لَهُ: يَا رَسُولَ اللَّهِ هَذَا ابْنُ خَطَلٍ مُتَعَلِّقًا [ص:143] بِأَسْتَارِ الْكَعْبَةِ،"
"He said, “Slay him.”",فَقَالَ: اقْتُلُوهُ
There are many lengthy traditions regarding the conquest of Makka.,وَفِي فَتْحِ مَكَّةَ أَحَادِيثُ كَثِيرَةٌ تَطُولُ.
The Messenger of God (pbuh) pardoned all of them and conveyed it to them in an address.,"وَأَمَّنَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ سَائِرَهُمْ، وَخَطَبَهُمْ بِذَلِكَ"
,
"(299) Abu 'Ubayd related to us saying: Ismail ibn 'Ayy3sh related to us from <Abd Allah ibn <Abd al-Rahman ibn Abi Husayn, who said: “When the Messenger of God (pbuh) had conquered Makka, he entered the Bayt and prayed between two pillars.","298 - حَدَّثَنَا أَبُو عُبَيْدٍ حَدَّثَنَا إِسْمَاعِيلُ بْنُ عَيَّاشٍ، عَنْ عَبْدِ اللَّهِ بْنِ عَبْدِ الرَّحْمَنِ بْنِ أَبِي حُسَيْنٍ، قَالَ: لَمَّا فَتَحَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ مَكَّةَ دَخَلَ الْبَيْتَ، فَصَلَّى بَيْنَ السَّارِيَتَيْنِ،"
,
,
"Then placing his hands on the door sill, he said, ‘There is no god, but God alone, He who has fulfilled His promise, helped His servant, and vanquished the enemy forces by Himself.  What do you say, and what do you expect?’","ثُمَّ وَضَعَ يَدَيْهِ عَلَى عِضَادَتَيِ الْبَابِ، فَقَالَ: «لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ مَاذَا تَقُولُونَ، وَمَاذَا تَظُنُّونَ؟»"
,
"They said, ‘We say benevolence and expect benevolence, O noble brother, and son of our noble brother. Now you have the power.’","قَالُوا: نَقُولُ خَيْرًا، وَنَظُنُّ خَيْرًا: أَخٌ كَرِيمٌ، وَابْنُ أَخٍ، وَقَدْ قَدَرْتَ،"
"He said: ‘I say to you what my brother Joseph, peace be upon him, had said:","قَالَ: "" فَإِنِّي أَقُولُ لَكُمْ كَمَا قَالَ أَخِي يُوسُفُ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: {لَا تَثْرِيبَ عَلَيْكُمُ الْيَوْمَ يَغْفِرُ اللَّهُ لَكُمْ وَهُوَ أَرْحَمُ الرَّاحِمِينَ} [يوسف: 92]"
This day let no reproach be (cast) on you. God will forgive you and He is the Most Merciful of those who show mercy.,
"“‘Take heed! Each blood feud of the Jahiliyya, each money claim of the Jahiliyya, and each glorious deed of the Jahiliyya is today trampled under my foot, except for the service of the Bayt and the provision of water to the pilgrims.’”","أَلَا إِنَّ كُلَّ دَمٍ وَمَالٍ وَمَأْثُرَةٍ كَانَتْ فِي الْجَاهِلِيَّةِ فَهِيَ تَحْتَ قَدَمَيَّ، إِلَّا سِدَانَةَ الْبَيْتِ وَسِقَايَةَ الْحَاجِّ "" [ص:144]"
"Abu 'Ubayd said: Sidana is the service of the Bayt. Sadana are the (serving) persons, the singular of which is sadin.","قَالَ أَبُو عُبَيْدٍ: السِّدَانَةُ خِدْمَةُ الْبَيْتِ، وَالسَّدَنَةُ الرِّجَالُ، وَالْوَاحِدُ: سَادِنٌ"
"(300) Abu 'Ubayd related to us saying: Hushaym related to us saying: “Khalid al-Hudha related to us from al-Qasim ibn Rabi^ from 'Uqba ibn Aws from one of the Companions of the Messenger of God (pbuh), who said: ‘The Messenger of God (pbuh) addressed the people on the day of the conquest of Makka and said, “Praise be to God, Who fulfilled His promise, helped His","299 - حَدَّثَنَا أَبُو عُبَيْدٍ قَالَ: حَدَّثَنَا هُشَيْمٌ، قَالَ: حَدَّثَنَا خَالِدٌ الْحَذَّاءُ، عَنِ الْقَاسِمِ بْنِ رَبِيعَةَ، عَنْ عُقْبَةَ بْنِ أَوْسٍ، عَنْ رَجُلٍ مِنْ أَصْحَابِ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَالَ: خَطَبَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يَوْمَ فَتْحِ مَكَّةَ، فَقَالَ: الْحَمْدُ لِلَّهِ الَّذِي صَدَقَ وَعْدَهُ، وَنَصَرَ عَبْدَهُ، وَهَزَمَ الْأَحْزَابَ وَحْدَهُ،"
"(servant, and vanquished the opposing forces Himself.",
"Take heed! Each glorious deed that was recalled or boasted about during the Jahiliyya, and each blood claim and demand stand trampled under these two feet of mine, except for the service of the Bayt and provision of water to the pilgrims.","أَلَا إِنَّ كُلَّ مَأْثُرَةٍ كَانَتْ فِي الْجَاهِلِيَّةِ تَعُدُّ أَوْ تُدْعَى، وَكُلَّ دَمٍ أَوْ دَعْوَى، مَوْضُوعَةٌ تَحْتَ قَدَمَيَّ هَاتَيْنِ، إِلَّا سِدَانَةَ الْبَيْتِ وَسِقَايَةَ الْحَاجِّ،"
"Beware! In the case of the victim of quasi wilful homicide, one killed with a whip, stick or stone, there are a hundred camels, out of which forty will be between the ages of six and nine years and each of them will be pregnant”.","أَلَا وَفِي قَتِيلِ خَطَأِ الْعَمْدِ بِالسَّوْطِ [ص:145] وَالْعَصَا وَالْحَجَرِ مِائَةٌ مِنَ الْإِبِلِ، مِنْهَا أَرْبَعُونَ مَا بَيْنَ ثَنِيَّةٍ إِلَى بَازِلِ عَامِهَا كُلُّهَا خَلِفَةٌ"
,
"(303)Abu ‘Ubayd related to us saying: ‘Abd al-Wahhab ibn ‘Ata related to us from Husayn al-Mu^llim from ‘Amr ibn Shu^yb from his father from his grandfather, who said: “When Makka was conquered by the Messenger of God (pbuh) he said, ‘Put your weapons in their sheaths, except for Khuza^ against Banu Bakr, and they have up to the time of the middle prayer.’","300 - حَدَّثَنَا أَبُو عُبَيْدٍ حَدَّثَنَا عَبْدُ الْوَهَّابِ بْنُ عَطَاءٍ، عَنْ حُسَيْنٍ الْمُعَلِّمِ، عَنْ عَمْرِو بْنِ شُعَيْبٍ، عَنْ أَبِيهِ، عَنْ جَدِّهِ، قَالَ: لَمَّا فُتِحَتْ مَكَّةُ عَلَى رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَالَ: كُفُّوا السِّلَاحَ إِلَّا خُزَاعَةُ عَنْ بَنِي بَكْرٍ، فَإِنَّ لَهُمْ حَتَّى صَلَاةِ الْعَصْرِ."
,
,
,
"He then said, ‘Hold back your weapons.’","ثُمَّ قَالَ: كُفُوًا السِّلَاحَ،"
"In the meantime, a man from the Khuza^ came across a man from the Banu Bakr at Muzdalifa and killed him.","فَلَقِيَ رَجُلٌ مِنْ خُزَاعَةَ رَجُلًا مِنْ بَنِي بَكْرٍ بِالْمُزْدَلِفَةِ، فَقَتَلَهُ،"
