Al-Akhlâq wa’l-Siyar (Morals and Behaviour),الأخلاق والسير في مداواة النفوس
"Whoever makes a study of various objects and of the bodies they make up, whoever makes a long and frequent examination of them, knows this, and is able to discern the differences and to distinguish one object from another thanks to the nuances which the soul can perceive but words cannot express. Glory then to the Almighty, the Omniscient, whose power is infinite.",من تدبر الآلات وجميع الأجسام المركبات وطال تكرر بصره عليها فإنه حينئذ يميز ما بينها ويعرف بعضها من بعض بفروق فيها تعرفها النفس ولا يقدر أحد يعبر عنها بلسانه فسبحان العزيز الحكيم الذي لا تتناهي مقدوراته.
"A curious thing in this world is to see people allow themselves to be dominated by perverse hopes which will bring them nothing but trouble in the short term and anxiety and sin in the long term. For example, one person will hope for a rise in the price of foodstuffs, a rise which might be fatal for some people.",من عجائب الدنيا قوم غلبت عليهم آمال فاسدة لا يحصلون منها إلا على إتعاب النفس عاجلًا ثم الهم والإثم آجلًا كمن يتمنى غلاء الأقوات التي في غلائها هلاك الناس.
"But, even if one has a certain interest in something happening, the fact that one hopes for it does not make it happen before its time, and nothing will happen that God has not decided.",وكمن يتمنى بعض الأمور التي فيها الضرر لغيره وإن كانت له فيها منفعة فإن تأميله ما يؤمل من ذلك لا يعجل له ذلك قبل وقته ولا يأتيه من ذلك بما ليس في علم الله تعالى تكونه.
"If he had wished for the good and the prosperity of other people, we would have speeded his own reward, achieved peace of mind and virtue, without fatiguing himself at all. Be amazed at the useless corruption of these characters!",فلو تمنى الخير والرخاء لتعجل الأجر والراحة والفضيلة ولم يتعب نفسه طرفة عين فما فوقها فاعجبوا لفساد هذه الأخلاق بلا منفعة.
IX) Treatment of Corrupt Character,فصل في أدواء الأخلاق الفاسدة ومداواتها
"A man who is subject to pride should think of his faults. If he is proud of his virtues, he should seek out what is mean in his character. And if his faults are so well hidden from him that he thinks he has none, let him know that his misfortune will last for ever, that he is the worst of men, that he has the worst faults of all and is the least perceptive.",من امتحن بالعجب فليفكر في عيوبه فإن أعجب بفضائله فليفتش ما فيه من الأخلاق الدنيئة فإن خفيت عليه عيوبه جملة حتى يظن أنه لا عيب فيه فليعلم أن مصيبته إلى الأبد وأنه لأتم الناس نقصًا وأعظمهم عيوبًا. وأضعفهم تمييزًا.
"In the first place, he is weak in mind and ignorant.",وأول ذلك أنه ضعيف العقل جاهل
"No fault is worse then these two, for a wise man is one who sees his own faults, fights against them and tries to overcome them. A fool ignores them because he has little knowledge and discernment and his thoughts are feeble, possibly because he takes his faults to be good qualities, and there is nothing on earth worse than this.",ولا عيب أشد من هذين لأن العاقل هو من ميز عيوب نفسه فغالبها وسعى في قمعها والأحمق هو الذي يجهل عيوب نفسه إما لقلة علمه وتمييزه وضعف فكرته وإما لأنه يقدر أن عيوبه خصال وهذا أشد عيب في الأرض.
"There are many who boast of having committed adultery, homosexuality [acts of child abuse], theft, and other sins, and are proud of these stains and of the aptitudes that they deployed in these shameful acts.",وفي الناس كثير يفخرون بالزنا واللياطة والسرقة والظلم فيعجب بتأتي هذه النحوس له وبقوته على هذه المخازي.
"Know well nobody upon earth is free of all faults except the Prophets, may God bless them. A man who does not see his own faults is a fallen being; he comes to be so from baseness, turpitude, stupidity and feebleness of intelligence, lack of discernment and understanding, to such a point that he is no different from vile men and it is not possible to drop lower into degradation than he has. Let him save his soul by seeking out his own faults and turning attention upon them instead of his pride and the faults of others, the doing of which harms him neither in this world or the next.",واعلم يقينًا: أنه لا يسلم إنسي من نقص حاشا الأنبياء صلوات الله عليهم فمن خفيت عليه عيوب نفسه فقد سقط وصار من السخف والضعة والرذالة والخسة وضعف التمييز والعقل وقلة الفهم بحيث لا يتخلف عنه مختلف من الأرذال وبحيث ليس تحته منزلة من الدناءة فليتدارك نفسه بالبحث عن عيوبه والاشتغال بذلك عن الإعجاب بها وعن عيوب غيره التي لا تضره في الدنيا ولا في الآخرة.
