The History of al-Tabari,تاريخ الطبري
"It was there that Afaridhun shot at him when he overcame him and bound him in iron. In the same way, Nebuchadnezzar was warlord of the lands extending from al-Ahwaz to the land of the Byzan¬tines lying west of the Tigris, before Luhrasb ruled there. ","وهنالك رمى به أفريدون حين ظفر به وقهره موثقا بالحديد وكذلك بختنصر كان أصبهبذ ما بين الأهواز إلى أرض الروم من غربي دجلة من قبل لهراسب، "
,
"This was because Luhrasb was busied with fighting the Turks. He built Balkh to keep them at bay, it is said, and he had to stay there for a long time to fight them.","وذلك أن لهراسب كان مشتغلا بقتال الترك مقيما بإزائهم ببلخ، وهو بناها- فيما قيل- لما تطاول مكثه هنالك لحرب الترك،"
"Anyone who was not knowledgeable about the affairs of these people, or about how long they lived, and who was over¬confident of his knowledge about the region— about, for exam-ple, who appointed whom—might very well think that they (Nimrod and Nebuchadnezzar) were kings in their own right. ",فظن من لم يكن عالما بأمور القوم بتطاول مدة ولايتهم أمر الناحية لمن ولوا له أنهم كانوا هم الملوك 
,"ولم يدع أحد من أهل العلم بأمور الأوائل وأخبار الملوك الماضية وأيام الناس فيما نعلمه أن أحدا من النبط كان ملكا برأسه على شبر من الارض، فكيف يملك شرق الأرض وغربها!"
"But no one who is learned in the history of mankind and of an-cient kings—as far as we know—would claim that any Nabatean was king in his own right over so much as a foot of ground, much less king of all the world. Scholars of scripture and men learned in the accounts of past generations assert, and anyone who has troubled to look at historical books must agree, that Nimrod's rule over the region of Babylon on behalf of al-Azdahaq Biwarasb lasted four hundred years, and that his authority was passed on to a man of Nimrod's stock after he died. This man was named Nabat b. Qa'ud, and he ruled for one hundred years. ","ولكن العلماء من أهل الكتاب وأهل المعرفة بأخبار الماضين ومن قد عانى النظر في كتب التأريخات، يزعمون أن ولاية نمرود إقليم بابل من قبل الازدهاق بيوراسب دامت أربعمائة سنة، ثم لرجل من نسله من بعد هلاك نمرود، يقال له نبط بن قعود مائة سنة، "
,
"After him rule over the region of Babylon passed to Dawas b. Nabat, who ruled for eighty years; after him to Balish b. Dawas, who ruled for one hundred and twenty years; and finally to Nimrod b. Balish, who ruled for a year and a few months. That makes seven hundred and one years and a few months—all during the reign of al-Dahhak. After Afaridhun overthrew al-Azdahaq and became the supreme ruler, he slew Nimrod b. Balish and drove the Nabateans away into exile. He killed a great number of Nabateans because",
of their support for Biwarasb and for the deeds of Nimrod and his sons. Some scholars claim that even before Biwarasb died he had already become alienated from Nimrod's line and no longer looked upon them (with favor) as he had. ,
,"ثم لداوص بن نبط من بعد نبط ثمانين سنة، ثم من بعد داوص بن نبط لبالش بن داوص مائة وعشرين سنة، ثم لنمرود بن بالش من بعد بالش سنة وأشهرا فذلك سبعمائة سنة وسنة وأشهر، وذلك كله في أيام الضحاك، فلما "
,"ملك أفريدون وقهر الازدهاق قتل نمرود بن بالش وشرد النبط وطردهم، وقتل منهم مقتلة عظيمة، لما كان منهم من معاونتهم بيوراسب على أموره، وعمل نمرود وولده له."
,
,
" We will now return to the story of the events which took place during Abraham's days, including the story of",وقد زعم بعض أهل العلم أن بيوراسب قد كان قبل هلاكه تنكر لهم. وتغير عما كان لهم عليه . ذكر لوط بن هاران وقومه ونعود الآن إلى ذكر الخبر عن بقية الاحداث التي كانت في ايام ابراهيم ص.
Lot b. Haran,"وكان من الكائن أيام حياته من ذلك ما كان من أمر لوط بن هاران ابن تارخ، ابن أخي ابراهيم ع وأمر قومه من سدوم وكان من أمره فيما ذكر أنه شخص من أرض بابل مع عمه إبراهيم خليل الرحمن، مؤمنا به، متبعا له على دينه، مهاجرا إلى الشام، ومعهما سارة بنت ناحور."
"b. Terah, son of Abraham's brother, and his people—the people of Sodom. It is said that Lot traveled from the land of Baby¬lon with his paternal uncle Abraham, the Friend of the Merci¬ful, believing in him and following his religion. They went to Syria as fugitives, and with them went Sarah bt. Nahor, who some say was Sarah bt. Hanal bt. Nahor. It is said that Abraham's father Terah went with them, still opposing Abraham's religion and remaining an unbeliever. When they reached Harran Terah died, still an unbeliever. Abraham, Lot, and Sarah went on to Syria and then to Egypt, which was then ruled by a Pharaoh. It is mentioned that this Pharaoh was Sinan b. 'Alwan b. Ubayd b. 'Uwayj b.","وبعضهم يقول: هي ساره بنت هيبال بن ناحور وشخص معهم- فيما قيل- تارخ أبو إبراهيم مخالفا لإبراهيم في دينه، مقيما على كفره حتى صاروا إلى حران فمات تارخ وهو آزر أبو إبراهيم بحران على كفره وشخص إبراهيم ولوط وسارة إلى الشام، ثم مضوا إلى مصر، فوجدوا بها فرعونا من فراعنتها، ذكر أنه كان سنان بن علوان بن عبيد بن عويج بن عملاق بن لاوذ ابن سام بن نوح وقد قيل إن فرعون مصر يومئذ كان أخا للضحاك، كان الضحاك وجهه إليها عاملا عليها من قبله- وقد ذكرت بعض قصته مع إبراهيم فيما مضى قبل- ثم رجعوا عودا على بدئهم إلى الشام وذكر أن إبراهيم نزل فلسطين، وأنزل ابن أخيه لوطا الأردن، وأن الله تعالى أرسل لوطا إلى أهل سدوم"
" 'Imlaq b. Lud b. Shem b. Noah. It is also said that he was a brother of al-Dahhak, who had ap¬pointed him governor of Egypt.I have already given some of  ",
the story of what happened between him and Abraham above.,
"After this, Abraham, Lot, and Sarah went back to Syria. It is said that Abraham settled in Palestine and settled his nephew Lot in Jordan, and that God sent Lot to the people of Sodom. ",
"It is said that Lot traveled from the land of Baby¬lon with his paternal uncle Abraham, the Friend of the Merci¬ful, believing in him and following his religion. They went to Syria as fugitives, and with them went Sarah bt. Nahor, who some say was Sarah bt. Hanal bt. Nahor. It is said that Abraham's father Terah went with them, still opposing Abraham's religion and remaining an unbeliever. When they reached Harran Terah died, still an unbeliever. Abraham, Lot, and Sarah went on to Syria and then to Egypt, which was then ruled by a Pharaoh.",
"It is mentioned that this Pharaoh was Sinan b. 'Alwan b. Ubayd b. 'Uwayj b. 'Imlaq b. Lud b. Shem b. Noah. It is also said that he was a brother of al-Dahhak, who had ap¬pointed him governor of Egypt. I have already given some of  ",
the story of what happened between him and Abraham above.,
"After this, Abraham, Lot, and Sarah went back to Syria. It is said that Abraham settled in Palestine and settled his nephew Lot in Jordan, and that God sent Lot to the people of Sodom.",
"The people of Sodom were disbelievers in God, and were also immoral, as God has said, ""You commit lewdness such as no creature has done before you. For do you not come into males, and do you not cut the roads, and do you not commit abomina¬tions in your assemblies?"" As has been said, ""cutting the road"" means that they committed lewdness with anyone who came into their town.","، وكانوا أهل كفر بالله وركوب فاحشة، كما أخبر الله عن قوم لوط: «إِنَّكُمْ لَتَأْتُونَ الْفاحِشَةَ مَا سَبَقَكُمْ بِها مِنْ أَحَدٍ مِنَ الْعالَمِينَ أَإِنَّكُمْ لَتَأْتُونَ الرِّجالَ وَتَقْطَعُونَ السَّبِيلَ وَتَأْتُونَ فِي نادِيكُمُ الْمُنْكَرَ» . وكان قطعهم السبيل- فيما ذكر- إتيانهم الفاحشة إلى من ورد بلدهم."
,
Concerning Those Who said That: ,ذِكْرُ مَنْ قَالَ ذَلِكَ:
"According to Yunus b. 'Abd al-A'la—Ibn Wahb—Ibn Zayd: As for God's statement, ""you cut the roads, "" the road is the way of the traveler. When the traveler, the son of the road, passed by them, they would block the road and perform with him that ugly deed.","حَدَّثَنِي يُونُسُ بْنُ عَبْدِ الأَعْلَى، قَالَ: أَخْبَرَنَا ابن وهب، قال: قال ابن زيد في قوله تعالى: «وَتَقْطَعُونَ السَّبِيلَ» ، قال: السبيل طريق المسافر إذا مر بهم، وهو ابن السبيل قطعوا به وعملوا به ذلك العمل الخبيث."
"As for what they did in their assemblies, scholars disagree about what it was. Some say that they used to shorten whoever passed by them. Others say that they used to break wind in their assemblies, while some said that they used to have inter¬course with each other there.","وأما إتيانهم ما كانوا يأتونه من المنكر في ناديهم، فإن أهل العلم اختلفوا فيه، فقال بعضهم: كانوا يحذفون من مر بهم."
,وقال بعضهم: كانوا يتضارطون في مجالسهم.
,وقال بعضهم: كان بعضهم ينكح بعضا فيها.
,
"Concerning those who said that they used to shorten who¬ever passed by them, Ibn Humayd heard the following from—Yahya b. Wadih—'Umar b. Abi Za’idah—'Ikrimah: Concerning His statement, ""You commit abominations in your assemblies, "" it means that they used to molest wayfarers, shortening those who passed by them.",ذكر من قال كانوا يحذفون من مر بهم:
According to Ibn Waki'—his father—'Imran b. Zayd— 'Ikrimah: (It means) cutting (the road) off.,"حَدَّثَنَا ابْنُ حُمَيْدٍ، قَالَ: حَدَّثَنَا يَحْيَى بْنُ واضح، قال: حدثنا عمر ابن ابى زائده، قال: سمعت عكرمة يقول في قوله: «وَتَأْتُونَ فِي نادِيكُمُ الْمُنْكَرَ» ، قال: كانوا يؤذون أهل الطريق، يحذفون من مر بهم"
According to Musa b. Harun—'Amr b. Hammad—," حَدَّثَنَا ابْنُ وَكِيعٍ، قَالَ: حَدَّثَنَا أَبِي، عَنِ عمر بن ابى زائده، قال: سمعت عكرمة، قال: الحذف."
